,id,kw_location,time_location,created_date,period,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,year,month
3671,3707,AUS,UK,2022-10-18 18:58:05,Evening,Olivia Wilde salad dressing,BTS,Michael Mcintyre,Sri Lanka vs UAE,Vinomofo,Taylor Swift,Prime Gaming,Parler,Creed 3,Elnaz Rekabi,Ezra Miller,Pierce Brosnan,Sims 4,Yeysk,Pat Cummins,Ballon d'Or 2022,Selena Gomez,Man City,Real Madrid,Tori Amos,2022,10
3673,3709,US,UK,2022-10-19 08:05:02,Morning,Creed,Black Adam reviews,NBA,Warriors,Padres,Celtics,Lakers,Kristin Smart,McDonald's Halloween buckets,San Diego Padres,Superfly,Elnaz Rekabi,Brittney Griner,DeSean Jackson,Charlie Puth,Flyers,Sims 4,Gabby Petito,Anthony Davis,Klay Thompson,2022,10
3674,3710,UK,UK,2022-10-19 08:05:02,Morning,NBA,Arsenal vs Man City,Nottingham Forest,Afghanistan vs Pakistan,Xenophobia,Neil Lennon,It Starts with Us,Huddersfield vs Preston,Andrew Watson footballer,Crystal Palace vs Wolves,Brighton vs Nottm Forest,Steven Gerrard,Rob Burrow,Blackburn Rovers Vs Sunderland,Mercury Prize 2022,Norwich City vs Luton Town,Ezra Miller,Stoke City vs Rotherham,Lewis Capaldi,Diwali,2022,10
3676,3712,DE,UK,2022-10-19 08:05:02,Morning,NBA,Joko und Klaas,Darmstadt 98,HSV,Fred Fussbroich,Ludwigshafen,Bruce Willis,Elversberg,Attila Hildmann,Sims 4,Arne Schönbohm,Apple iPad Pro 2022,Waldhof Mannheim,Reinhard Mey,VfB Lübeck,VfL Wolfsburg,A Plague Tale: Requiem,DFB-Pokal,Stuttgarter Kickers gegen Eintracht Frankfurt,Karim Benzema,2022,10
3677,3713,FR,UK,2022-10-19 08:05:02,Morning,NBA,Warriors \u2013 Lakers,La France a un incroyable talent,Kherson,Sims 5,Atlético Madrid \u2013 Rayo,Manifestation paris,Helene Segara,Franco Gatti,Sims 4,Séville \u2013 Valence,Prime Gaming,OQTF,En corps,Elnaz Rekabi,Creed 3,Julien Clerc,Stephane Bern,BTS,Pomme,2022,10
3678,3714,NL,UK,2022-10-19 08:05:02,Morning,Wolfspin,NBA,Jon van Eerd,Johan Derksen,Jan de Hoop,Hebe vermist,Glennis Grace,KNVB-beker,Eindhoven  Willem II,Heerenveen,Rente studieschuld,Elnaz Rekabi,ADE,ADO Den Haag,Roda JC,Gijs Scholten van Aschat,Heracles,SkyShowtime,Baudet reptielen,Patrick de Zeeuw,2022,10
3679,3715,IT,UK,2022-10-19 08:05:02,Morning,NBA,Cagliari,Santa Laura,Cristina Quaranta,L-Gante,Swedish House Mafia,Risultati Coppa Italia,Et film,Franco Gatti,Coppa Italia,Torino  Cittadella,Alessandro Tulli,Collegio 7,Andrea Giambruno,Nikita,Mise,Gloria Saccani Jotti,Berlusconi Putin,The Sims 4,Sarcoma di Ewing,2022,10
3680,3716,AUS,UK,2022-10-19 08:05:02,Morning,NBA,Warriors vs Lakers,Crystal Palace vs Wolves,Tori Amos,Celtics vs 76ers,iPad,Lakers,Blink-182 tickets,Golden Plains,Geelong Cup,Vince Colosimo,NBA League Pass,Tonga vs PNG,Lewis Capaldi,Neymar,F1 Daniel Ricciardo,Celine Dion,Black Adam': Review,Selma Blair Dancing With The Stars,Israel,2022,10
3682,3718,US,UK,2022-10-19 18:58:03,Evening,Jana Kramer,iPad,Martial law,Black Adam Reviews,Creed,Giancarlo Stanton,Philadelphia 76ers,NBA,Padres,Lakers,Celtics,Golden State Warriors,Warriors,McDonald's Halloween buckets,DeSean Jackson,Brittney Griner,Sims 4,Elnaz Rekabi,TNT,Flyers,2022,10
3683,3719,UK,UK,2022-10-19 18:58:03,Evening,Suella Braverman,Train strikes,Xenophobia,Arsenal vs Man City,Neil Lennon,Martial law,Geena Davis,Triple lock pension,PMQs today,The School for Good and Evil,Newcastle vs Everton,Huddersfield vs Preston,Kherson,Brentford vs Chelsea,Andrew Watson footballer,Crystal Palace vs Wolves,Brighton vs Nottm Forest,Steven Gerrard,Rob Burrow,Mercury Prize 2022,2022,10
3685,3721,DE,UK,2022-10-19 18:58:03,Evening,DFB-Pokal,Stuttgarter Kickers gegen Eintracht Frankfurt,Luisa Neubauer,NBA,Black Adam,Joko und Klaas,Cherson,Boris Becker,Berlusconi Putin,Kanye West George Floyd,Schalke,HSV,Freiburg gegen St. Pauli,Augsburg gegen Bayern,Fred Fussbroich,Ludwigshafen,Darmstadt 98,Eintracht Frankfurt,Borussia Mönchengladbach,Werder Bremen,2022,10
3686,3722,FR,UK,2022-10-19 18:58:03,Evening,Jean Teulé,Black Adam,Loi martiale,Maes,NBA,Jean Castex,Levothyrox,Coupe de France,Warriors \u2013 Lakers,49.3,Kherson,Baptiste Lecaplain,L'École du Bien et du Mal,Sims 5,Lafarge,Helene segara,Manifestation paris,Franco Gatti,Sims 4,Séville \u2013 Valence,2022,10
3687,3723,NL,UK,2022-10-19 18:58:03,Evening,Wolfspin,ASML,Staat van beleg,NBA,Cherson,Jinek Glennis Grace,Osdorp,Hebe vermist,Glennis Grace,KNVB-beker,Baudet,ADE,Rente studieschuld,Shownieuws,Elnaz Rekabi,Dianne Tonies,Heerenveen,Jack Reacher,FC Eindhoven,Roda JC,2022,10
3688,3724,IT,UK,2022-10-19 18:58:03,Evening,Spezia  Brescia,NBA,Parma-Bari,Cagliari,Sara Simeoni,Santa Laura,Zoe Cristofoli,Wanda Nara,Marta Fascina,Legge marziale,Sonego,Cristina Quaranta,Maignan,iPad,Giorgia Meloni Berlusconi,Nina Zilli,Fuori dal coro,Maria Grazia Calandrone,Risultati Coppa Italia,Kherson,2022,10
3689,3725,AUS,UK,2022-10-19 18:58:03,Evening,Championship,NBA,Black Adam,Warriors vs Lakers,iPad,The School for Good and Evil,Lakers,Vince Colosimo,Celtics vs 76ers,Live Nation,Golden Plains,Lewis Capaldi,Geelong Cup,Tonga vs PNG,West Indies vs Zimbabwe,Man United vs Tottenham,Neymar,Liverpool vs West Ham,Echuca floods,F1 Daniel Ricciardo,2022,10
3691,3727,US,UK,2022-10-20 08:05:03,Morning,Astros,Man United vs Tottenham,Nets,Knicks,Suns,Miami Heat,Creed 3,The School for Good and Evil,Liverpool vs West Ham,Brentford vs Chelsea,Real Madrid,Utah Jazz,Martial law,Detroit Pistons,Cavs,Silent Hill,TSLA,2022 tax brackets,Billy Ray Cyrus,iPad,2022,10
3692,3728,UK,UK,2022-10-20 08:05:03,Morning,Celtic,Cristiano Ronaldo,Silent Hill,Arsenal vs PSV,Joe Tracini,Blackpool vs Hull City,Suella Braverman,Newcastle vs Everton,Brentford vs Chelsea,Charles Walker,Arsenal vs Man City,Train strikes,Bournemouth vs Southampton,Rangers vs Dundee,Steve Baker,Xenophobia,The School for Good and Evil,NBA,Coventry vs Sheffield United,Martial law,2022,10
